station_id,station_name,PM25,msa_id,msa_name,census_id,census_tract,pct_people_of_color,pct_low_income,pct_unemployed
153975,Moon Hollow.,1.3,42220,"Santa Rosa-Petaluma, CA",06097150206,Sonoma County,0.337837837837838,0.162162162162162,0.203703703703704
153995,Gray's Crossing Bluffs,2.3,46020,"Truckee-Grass Valley, CA",06057001211,Nevada County,0.147396293027361,0.105030891438658,0.100393700787402
154007,15th Ave,0.0,41860,"San Francisco-Oakland-Fremont, CA",06081606600,San Mateo County,0.418707660239708,0.039343408025013,0.017126546146527
154171,PurpleAir,0.4,41940,"San Jose-Sunnyvale-Santa Clara, CA",06085506103,Santa Clara County,0.783250287466462,0.098313530088156,0.027459016393443
154189,Casa de Canyon de Las Flores,19.4,31080,"Los Angeles-Long Beach-Anaheim, CA",06037460101,Los Angeles County,0.352587244283995,0.09042461750043,0.066482843137255
154209,MSG,0.7,21700,"Eureka-Arcata, CA",06023011200,Humboldt County,0.301665799062988,0.356676247713614,0.105351170568562
154223,Near LA Fitness,12.1,31080,"Los Angeles-Long Beach-Anaheim, CA",06059021831,Orange County,0.653691039803612,0.109151825074943,0.039421338155515
154343,"312 Main AVE, Sacramento,",1.2,40900,"Sacramento-Roseville-Folsom, CA",06067007204,Sacramento County,0.731358357178926,0.215202702702703,0.059777711024332
154345,Near Mary Lake,0.7,39820,"Redding, CA",06089010602,Shasta County,0.186142322097378,0.163053903702283,0.059602649006623
154353,The Park at Fenway Cir,2.5,40900,"Sacramento-Roseville-Folsom, CA",06061021203,Placer County,0.205038759689922,0.162715377639591,0.025347506132461
154367,N forty road,2.3,40900,"Sacramento-Roseville-Folsom, CA",06061021304,Placer County,0.197579976794298,0.147385892116183,0.023316912972085
154393,SJUSD-Cope,0.0,40140,"Riverside-San Bernardino-Ontario, CA",06065043517,Riverside County,0.789685274523317,0.349684089603676,0.063210790796086
154437,ShingletownCCB,0.0,39820,"Redding, CA",06089012603,Shasta County,0.160058379956215,0.230029585798817,0.054578532443905
154459,"Willow Creek, California",2.6,21700,"Eureka-Arcata, CA",06023010102,Humboldt County,0.272885789014821,0.305960264900662,0.053775743707094
154465,McClellan Stud,0.1,21700,"Eureka-Arcata, CA",06023010902,Humboldt County,0.160675512665862,0.299733462563606,0.120854412591343
154475,Dieter,0.0,42220,"Santa Rosa-Petaluma, CA",06097152501,Sonoma County,0.43859649122807,0.215365551425031,0.04702455264253
154573,Sonoma Raceway,1.4,42220,"Santa Rosa-Petaluma, CA",06097150612,Sonoma County,0.314016442751153,0.104471626228193,0.026252158894646
154625,Rosie's House,2.0,41860,"San Francisco-Oakland-Fremont, CA",06001408700,Alameda County,0.909737124463519,0.509269210102096,0.069739235900546
154675,Bernhard,2.1,41860,"San Francisco-Oakland-Fremont, CA",06013362000,Contra Costa County,0.450918079096045,0.140431552882915,0.043911007025761
154673,Private Home,1.2,40900,"Sacramento-Roseville-Folsom, CA",06061020606,Placer County,0.39121387283237,0.054848414718815,0.016585365853659
154681,Diablo Digital Printing,3.9,41860,"San Francisco-Oakland-Fremont, CA",06013325000,Contra Costa County,0.460964129199805,0.105793450881612,0.030245746691871
154721,GHHC,0.0,42220,"Santa Rosa-Petaluma, CA",06097151503,Sonoma County,0.191469194312796,0.11563981042654,0.0261748958953
154757,MCC,1.3,40900,"Sacramento-Roseville-Folsom, CA",06067008908,Sacramento County,0.460800667222686,0.33521421107628,0.056122448979592
154773,Purple Air Tahoe City,1.7,40900,"Sacramento-Roseville-Folsom, CA",06061022200,Placer County,0.086614173228346,0.083989501312336,0.0
154787,TNL,1.4,40900,"Sacramento-Roseville-Folsom, CA",06061022100,Placer County,0.081858407079646,0.064159292035398,0.007058823529412
154785,WWD,32.2,46020,"Truckee-Grass Valley, CA",06057000404,Nevada County,0.07794981313401,0.363709246392304,0.005988023952096
154807,"15112 Cedar View, Nevada City, CA 95959",2.2,46020,"Truckee-Grass Valley, CA",06057000801,Nevada County,0.161467889908257,0.302788104089219,0.087524752475248
154815,Ferguson Rd,0.0,42220,"Santa Rosa-Petaluma, CA",06097153602,Sonoma County,0.211297071129707,0.189005235602094,0.030762167125803
154837,Inverness Park,0.6,41860,"San Francisco-Oakland-Fremont, CA",06013345111,Contra Costa County,0.71025641025641,0.137788494660696,0.044991789819376
154849,Saddleback,1.8,40900,"Sacramento-Roseville-Folsom, CA",06061021801,Placer County,0.117094017094017,0.13034188034188,0.016493873704053
154859,Cerise Ave,6.6,31080,"Los Angeles-Long Beach-Anaheim, CA",06037651101,Los Angeles County,0.643673205432205,0.088839779005525,0.037284894837476
154931,Lot 27,8.4,41740,"San Diego-Chula Vista-Carlsbad, CA",06073020807,San Diego County,0.29106529209622,0.127491408934708,0.033536585365854
154955,Village Drive,2.8,17020,"Chico, CA",06007001601,Butte County,0.156544502617801,0.066492146596859,0.045933734939759
155019,Vineyard Circle,0.4,42220,"Santa Rosa-Petaluma, CA",06097150303,Sonoma County,0.233772693359861,0.07525,0.067360685854256
155033,McCourtney &amp; Lucas Hill,1.8,46020,"Truckee-Grass Valley, CA",06057000200,Nevada County,0.130046445158985,0.305983518452168,0.057228915662651
155045,Tabuenca,7.4,31080,"Los Angeles-Long Beach-Anaheim, CA",06059032020,Orange County,0.359427048634244,0.08927381745503,0.052839785250071
155081,JWP Ranch,1.5,23420,"Fresno, CA",06039000111,Madera County,0.144434628975265,0.367053364269142,0.361573373676248
155089,"Glenshire, Truckee",1.7,46020,"Truckee-Grass Valley, CA",06057001205,Nevada County,0.095181907571288,0.148140861695849,0.073706591070163
155121,Grizzly Hill School,1.8,46020,"Truckee-Grass Valley, CA",06057000900,Nevada County,0.179814077025232,0.327609337268581,0.021739130434783
155173,Windgap West,0.0,46020,"Truckee-Grass Valley, CA",06057001205,Nevada County,0.095181907571288,0.148140861695849,0.073706591070163
155207,Hickory Park W 230th St,6.0,31080,"Los Angeles-Long Beach-Anaheim, CA",06037651101,Los Angeles County,0.643673205432205,0.088839779005525,0.037284894837476
155205,San Jose Felder Drive,0.8,41940,"San Jose-Sunnyvale-Santa Clara, CA",06085512031,Santa Clara County,0.556646870717223,0.063042485153038,0.030789245446661
155235,Lassen High School,2.0,45000,"Susanville, CA",06035040304,Lassen County,0.151139742319128,0.54630593132154,0.016877637130802
155257,Silverfork,3.8,40900,"Sacramento-Roseville-Folsom, CA",06017031900,El Dorado County,0.058823529411765,0.082352941176471,0.0
155319,Katherine Elm.,12.3,37100,"Oxnard-Thousand Oaks-Ventura, CA",06111008303,Ventura County,0.390062949640288,0.257129608161373,0.048936170212766
155341,Wallace Creek Carport,0.0,42220,"Santa Rosa-Petaluma, CA",06097154000,Sonoma County,0.278116826503923,0.095092024539877,0.039028620988725
155365,Meyers Neighborhood,1.0,40900,"Sacramento-Roseville-Folsom, CA",06017030502,El Dorado County,0.231225296442688,0.118322121092204,0.024199288256228
155385,Cedros,12.5,31080,"Los Angeles-Long Beach-Anaheim, CA",06037128400,Los Angeles County,0.48832822447536,0.207026644659278,0.036598117811084
