sensor_index,name,latitude,longitude,pm2.5,geometry,msa_id,msa_name,index_right,tract_geoid,CNTY_NAME,ACSTOTPOP,PEOPCOLORPCT,LOWINCPCT,UNEMPPCT,LESSHSPCT,LINGISOPCT,PM25
148237,SBCAPCD_Info_51,34.70939,-120.46477,2.4,POINT (-120.46477 34.70939),42200,"Santa Maria-Santa Barbara, CA",8454,06083002808,Santa Barbara County,6702,0.386302596239928,0.178453700928978,0.071210268948655,0.060101223112611,0.028333962976955,7.79608043715847
148243,Table Mtn North,39.598553,-121.61856,6.1,POINT (-121.61856 39.598553),17020,"Chico, CA",8724,06007002500,Butte County,5535,0.451309846431798,0.602242059373054,0.067301965455628,0.165927977839335,0.095118898623279,16.8642819672131
148253,SBCAPCD_61,34.42156,-119.59708,7.6,POINT (-119.59708 34.42156),42200,"Santa Maria-Santa Barbara, CA",3990,06083001706,Santa Barbara County,4599,0.299412915851272,0.148727984344423,0.07688927943761,0.04834471886495,0.011934361014421,7.63895581967213
148257,Fairchild Village,38.705387,-121.0761,3.0,POINT (-121.0761 38.705387),40900,"Sacramento-Roseville-Folsom, CA",5976,06017030709,El Dorado County,5206,0.225893200153669,0.03937764118325,0.024968789013733,0.023385300668151,0.004476776720761,12.765749726776
148323,"352 Saint Augustine Drive, Chico, CA 95928",39.73199,-121.77666,3.5,POINT (-121.77666 39.73199),17020,"Chico, CA",6976,06007000901,Butte County,2921,0.320438206093803,0.181282495667244,0.0328418230563,0.036701404621658,0.018214936247723,16.4965923497268
148483,Fremont - Civic Center,37.55336,-121.97416,0.0,POINT (-121.97416 37.55336),41860,"San Francisco-Oakland-Fremont, CA",266,06001441929,Alameda County,3064,0.785574412532637,0.127937336814621,0.018658598083712,0.008504058755315,0.140397350993377,11.398662568306
148547,SG1,34.10441,-118.10508,9.8,POINT (-118.10508 34.10441),31080,"Los Angeles-Long Beach-Anaheim, CA",465,06037480201,Los Angeles County,3644,0.717892425905598,0.06262341325811,0.038205980066445,0.045231813041839,0.053067993366501,13.153462568306
148585,Whispering Pine,37.722733,-122.062004,1.4,POINT (-122.062004 37.722733),41860,"San Francisco-Oakland-Fremont, CA",5688,06001430200,Alameda County,7713,0.487877609231168,0.092279459955433,0.059214167127836,0.066953868246275,0.042158516020236,11.5018969945355
148611,Dahlia Loop,37.347942,-121.92802,0.2,POINT (-121.92802 37.347942),41940,"San Jose-Sunnyvale-Santa Clara, CA",5618,06085505203,Santa Clara County,5476,0.526296566837107,0.354472031109782,0.043816254416961,0.02232369355657,0.078643578643579,11.3610243169399
148635,908 Linden,37.586433,-122.35505,1.1,POINT (-122.35505 37.586433),41860,"San Francisco-Oakland-Fremont, CA",1782,06081605400,San Mateo County,6790,0.452282768777614,0.057437407952872,0.043057794151508,0.080546210172175,0.036558345642541,9.90466693989071
148639,Home outside,37.86043,-122.26038,1.4,POINT (-122.26038 37.86043),41860,"San Francisco-Oakland-Fremont, CA",6064,06001423601,Alameda County,2738,0.373630387143901,0.18962962962963,0.070649052268811,0.013824884792627,0.00891265597148,11.2789275956284
148671,Kingridge 2,37.526096,-122.31038,4.1,POINT (-122.31038 37.526096),41860,"San Francisco-Oakland-Fremont, CA",6628,06081607100,San Mateo County,2998,0.417278185456971,0.038487508440243,0.075137446548564,0.005429864253394,0.035037878787879,9.83514535519126
148807,CARB_SMOKE_TCAPCD_VINA_ELEM,39.935047,-122.05321,1.7,POINT (-122.05321 39.935047),39780,"Red Bluff, CA",1124,06103000900,Tehama County,3487,0.464869515342701,0.446582423894314,0.059405940594059,0.198354265915981,0.024653312788906,13.8405360655738
148811,CARB_SMOKE_TCAPCD_RANCHOTEHAMAELEMENTARY,40.01824,-122.39399,0.0,POINT (-122.39399 40.01824),39780,"Red Bluff, CA",8409,06103000300,Tehama County,4005,0.194257178526841,0.378690629011553,0.041891891891892,0.117605131860299,0.001254705144291,12.8092346994536
148821,CARB_SMOKE_TCAPCD_BENDELEMENTARY,40.25929,-122.208374,0.4,POINT (-122.208374 40.25929),39780,"Red Bluff, CA",8410,06103000400,Tehama County,6517,0.20024551173853,0.166252330640149,0.050526315789474,0.033801146471635,0.0,12.9303799453552
148827,Round Valley Library Air Quality Sensor,39.794044,-123.2496,1.1,POINT (-123.2496 39.794044),46380,"Ukiah, CA",6218,06045010100,Mendocino County,2842,0.64496833216045,0.612093352192362,0.207641196013289,0.195854922279793,0.072448979591837,13.152146284153
148833,CARB_SMOKE_TCAPCD_KIRKWOODELEMENTARY,39.856804,-122.163155,2.1,POINT (-122.163155 39.856804),39780,"Red Bluff, CA",1125,06103001000,Tehama County,7665,0.5662100456621,0.363335100742312,0.042525773195876,0.207766212970376,0.108977035490605,14.3564265027322
